Folkemengde og endringer, etter region, tid  og  statistikkvariabel;;;;
;;;;
 ;2007;2009;2013;2017
 ;Folkemengde;Folkemengde;Folkemengde;Folkemengde
Ringerike;28385;28645;29400;30034
Tyristrand (1916-1963);0;0;0;0
Hole;5436;5861;6463;6772
Norderhov (-1963);0;0;0;0
Ådal (-1963);0;0;0;0
Flå;989;1011;1050;1081
Nes (Busk.);3456;3461;3435;3357
Gol;4435;4516;4667;4612
Hemsedal;1963;1995;2224;2442
Ål;4642;4640;4761;4719
Hol;4475;4430;4448;4535
Sigdal;3496;3534;3538;3502
Krødsherad;2120;2114;2223;2257
Modum;12589;12872;13337;13786
Øvre Eiker;15956;16350;17752;18562
Nedre Eiker;21877;22332;23640;24718
Lier;22257;22873;24763;25740
Røyken;17819;18749;20078;21931
Hurum;8935;9000;9321;9462
Ytre Sandsvær (1908-1963);0;0;0;0
Øvre Sandsvær (1908-1963);0;0;0;0
Flesberg;2523;2544;2657;2696
Rollag;1402;1418;1355;1399
Nore og Uvdal;2526;2503;2531;2530
Nore (-1961);0;0;0;0
Uvdal (-1961);0;0;0;0
Horten;25011;25471;26595;27202
Borre (1988-2001);0;0;0;0
Svelvik (-1963);0;0;0;0
Holmestrand;9726;9964;10350;10861
Horten (-1987);0;0;0;0
Tønsberg;37493;38914;41239;44922
Åsgårdstrand (-1964);0;0;0;0
Tønsberg (-1987);0;0;0;0
Sandefjord (-2016);41897;42654;44629;0
Larvik (-1987);0;0;0;0
Stavern (1944-1987);0;0;0;0
Larvik;41364;42124;43132;44082
Sandefjord;0;0;0;62019
Svelvik;6466;6459;6570;6653
Strømm (-1963);0;0;0;0
Skoger (-1963);0;0;0;0
Sande (Vestf.);7827;8214;8835;9496
Hof;3099;3058;3060;3176
Botne (-1963);0;0;0;0
Re;8321;8527;8994;9486
Våle (-2001);0;0;0;0
Borre (-1987);0;0;0;0
Ramnes (-2001);0;0;0;0
Andebu (-2016);5137;5241;5546;0
Stokke (-2016);10245;10866;11398;0
Sem (-1987);0;0;0;0
Nøtterøy;20305;20600;21100;21748
Tjøme;4493;4663;4865;4928
Sandar (-1967);0;0;0;0
Tjølling (-1987);0;0;0;0
Brunlanes (-1987);0;0;0;0
Hedrum (-1987);0;0;0;0
Lardal;2420;2379;2435;2475
Kragerø (-1959);0;0;0;0
Langesund (-1963);0;0;0;0
Stathelle (-1963);0;0;0;0
Brevik (-1963);0;0;0;0
Porsgrunn;33977;34377;35392;36198
Skien;50696;51359;53015;54316
Notodden;12221;12313;12497;12757
