"Folkemengde og endringer, etter region, tid og statistikkvariabel"

"0711";6466;6459;6570;6653
"0711u";0;0;0;0
"0712";0;0;0;0
"0713";7827;8214;8835;9496
"0714";3099;3058;3060;3176
"0715";0;0;0;0
"0716";8321;8527;8994;9486
"0716u";0;0;0;0
"0717";0;0;0;0
"0718";0;0;0;0
"0719";5137;5241;5546;0
"0720";10245;10866;11398;0
"0721";0;0;0;0
"0722";20305;20600;21100;21748
"0723";4493;4663;4865;4928
"0724";0;0;0;0
"0725";0;0;0;0
"0726";0;0;0;0
"0727";0;0;0;0
"0728";2420;2379;2435;2475
"0801";0;0;0;0
"0802";0;0;0;0
"0803";0;0;0;0
"0804";0;0;0;0
"0805";33977;34377;35392;36198
"0806";50696;51359;53015;54316
"0807";12221;12313;12497;12757
"0811";2362;2404;2426;2357
"0812";0;0;0;0
"0813";0;0;0;0
"0814";14061;14097;14129;14138
"0815";10481;10620;10700;10586
"0815u";0;0;0;0
"0816";0;0;0;0
"0817";4136;4138;4139;4148
"0818";0;0;0;0
"0819";6576;6557;6625;6585
"0819u";0;0;0;0
"0820";0;0;0;0
"0821";5333;5518;5791;6262
"0822";4277;4274;4369;4303
"0823";0;0;0;0
"0824";0;0;0;0
"0825";0;0;0;0
"0826";6120;6010;5973;5894
"0827";1619;1613;1609;1593
"0828";2933;2925;2945;2979
"0829";2542;2546;2507;2442
"0830";1375;1393;1430;1476
"0831";1363;1379;1350;1319
"0832";0;0;0;0
"0833";2414;2363;2284;2228
"0833u";0;0;0;0
"0834";3684;3662;3721;3726
"0835";0;0;0;0
"0901";6873;6889;6848;6936
"0902";0;0;0;0
"0903";0;0;0;0
"0904";19536;20111;21594;22692
"0905";0;0;0;0
"0906";40057;41241;43336;44576
"0911";2513;2496;2484;2511
"0912";1864;1881;1986;2104
"0913";0;0;0;0
"0914";5822;5939;6064;6051
"0915";0;0;0;0
"0916";0;0;0;0
"0917";0;0;0;0
"0918";0;0;0;0
"0918u";0;0;0;0
"0919";4759;4896;5425;5713
"0920";0;0;0;0
"0921";0;0;0;0
